90,15,0.7,5.1,49,0,2.4,141,0,0.26,0.25,2
100,16.3,0.2,7.3,24,600,3.6,65,130,0.04,0.04,0
189,19.63,6.78,11.05,37,591,3.8,217,284,0.22,0.13,1.8
99,12.2,4.8,1,223,2000,56,91,240,0.2,0.7,0
74,1.6,1.2,14.3,6,164,0.9,17,36,0.04,0.03,0
334,0.07,0.02,82.7,4,22,0.09,57,44,0,0,0
346,0,0.05,85.85,104,8,0.25,19,11,0.075,0.036,0
351,0.2,0.5,86,14,3,0.6,33,8,0,0,0
366,0.2,0.7,89.3,29,11,1.5,20,2,0,0,0
366,0.19,0.56,89.6,3,6,0.19,17,13,0,0,0
379,0.3,0,93.8,6,16,0.8,14,14,0.12,0.01,0
347,0.2,0.2,85.6,18,2,2,12,2,0,0,0
107,19.2,2.7,0.2,141,0,1.2,311,0,0.02,0.29,0
128,15.3,6.7,0.5,466,0,8,322,0,0.02,0.18,0
23,3.1,0.1,4.2,161,62,5.3,54,849,0.13,0.17,73
90,19.4,0.7,0.3,32,0,1.1,202,0,0.05,0.15,1
118,24.84,1.3,0,21,53,1.14,143,475,0.081,0.006,0
100,19.3,1.9,0.1,57,0,1,193,0,0.06,0.23,1
196,25.3,9.4,0.2,98,100,2.5,300,350,0.12,0.43,0
331,45.6,14.8,0.6,1205,0,20,783,0,0.03,0.3,0
113,23.1,1.6,0.2,210,1600,0.6,470,210,0.11,0.03,0
178,22.4,8.7,0.2,82,80,2.3,250,280,0.05,0.29,0
168,20,9.1,0.2,94,95,1.9,224,440,0.03,0.35,1
187,29.6,6.5,0.5,758,2400,16,455,970,0.03,0.25,0
152,23.3,5.7,0.2,78,0,6,228,0,0.03,0.2,0
274,21.7,20,0.3,304,0,5,294,0,0.04,0.24,0
125,16.5,5.9,0.4,85,450,2.5,333,222,0.06,0.3,0
127,19.3,4.8,0.3,241,651,8,235,259,0.04,0.13,0
417,7.2,13.6,66.4,640,280,9.9,95,1400,0.04,0.27,0
36,0.21,0.01,8.85,11,39,0.02,7,14,0,0.003,24.38
35,4.5,0.7,5,88,0,7.9,61,0,0.15,0.12,48
381,7.8,0,90.5,3,466,0.13,141,7,0.003,0.041,0
372,10.7,3.7,72.81,15,1,3.64,302,279,0.599,0.166,0
115,3.14,1.13,22.71,8,1,1.31,93,40,0.088,0.018,0.14
360,9.58,3.59,71.14,14,1,3.79,341,302,0.51,0.162,0
76,14.1,0.6,2.8,54,0,2.4,197,0,0.05,0.26,2
277,54.2,2,7,464,0,12,546,0,0.04,0.29,2
62,12,0.7,1.1,65,380,11,155,260,0.02,0.15,3
64,10.9,0.6,3,83,0,6,158,0,0.02,0.2,2
85,11.2,1,7.4,104,0,3.8,124,0,0.04,0.28,2
346,57.9,4.8,14.4,198,0,3.8,718,0,0.1,0.17,0
55,9.7,1,1.3,166,303,5.5,123,151,0.02,0.16,1
88,14.2,1.5,3.6,145,0,14.4,197,0,0.04,0.22,3
295,61.1,1.5,5.2,207,0,11.2,610,0,0.05,0.16,0
114,21.5,1.9,1.3,32,100,3.7,131,190,0.1,0.11,2
315,57.9,4.1,7.9,287,0,83.1,511,0,0,0,0
100,16.4,2.2,2.7,85,330,6.3,189,420,0.02,0.14,2
98,16.3,2,2.7,56,89,4.1,154,400,0.02,0.13,2
68,11.9,0.6,3,64,0,5.8,191,0,0.03,0.15,2
56,10.1,0.9,1.1,94,0,2.6,124,0,0.03,0.1,2
92,18.6,0.2,2.7,17,0,0.8,205,0,0,0,0
57,10.3,1.1,0.8,38,260,8.2,128,260,0.04,0.14,2
70,12.4,1.1,1.9,32,0,6.5,277,0,0,0,0
72,9.4,1,6,266,0,18.2,350,0,0.03,0.23,2
82,11.8,2.2,3,60,292,7.4,111,270,0.16,0.24,3
65,11.6,0.6,2.7,36,0,3.7,140,0,0.17,0.2,3
119,18,1.3,7.8,54,0,8,91,0,0.01,0.07,0
328,44.4,15.2,0.4,68,412,14.4,560,320,0.19,0.18,0
118,19.02,4.04,0,19,51,0.43,158,329,0.05,0.21,0
81,15.9,0.6,2,71,0,8.4,73,289,0.12,0.44,0
257,5.86,4.09,49.07,91,15836,0.81,211,566,0.23,1.071,0
234,22,4.8,25.7,465,15570,3.4,799,954,0.37,0.21,0
225,13.5,3.8,34.2,16,26237,1.9,86,241,0.63,0.19,0
77,6.19,0,13.02,9,6166,0.6,116,319,0.005,0.025,2.17
174,16.6,0.8,25.1,113,0,20,68,0,1.91,0.5,2
47,4,0.2,10.1,7,0,0.3,118,0,0.05,0.46,5
201,3,0.1,47,97,12,12.9,312,1058,0.38,0.79,44
289,1.38,0.35,77,4,3,0.3,41,87,0.141,0.088,1.01
323,1.7,0.1,86,14,19,0.4,33,135,0.2,0.13,0
238,2.1,0,62.3,16,7,2.9,95,758,0.35,0.79,27
299,0.3,0,80.9,34,7,1,15,355,0.34,0.86,33
326,0.53,0.24,87.9,52,21,0.15,37,127,0.077,0.042,0
286,0.4,0.1,77.3,3,6,0.9,30,116,0.06,0.04,12
18,0.5,0.1,4.1,24,19,0.2,18,230,0.02,0.01,12
53,10.8,0.5,0.5,19,0,1.4,129,0,0.03,0.18,0
30,3.2,0.3,5.5,9,6,0.9,83,855,0.08,0.15,8
314,28.31,4.69,57.62,259,11,3.84,455,1372,0.073,2.7,0
19,2.29,0.28,3.12,18,0,0.28,34,156,0.007,0.083,0
24,3.48,0.22,3.77,14,0,0.39,66,468,0.043,0.165,8.03
16,1.3,0.3,2.8,17,2,0.2,10,4,0.02,0.01,0
91,18.7,1.1,0.2,38,0,1.1,230,0,0.09,0.16,1
128,20.1,4.7,0,78,155,0.8,206,280,0.35,0.16,1
236,29.7,1.7,41.9,31,0,4.8,649,0,0.14,0.07,0
403,37.32,14.61,30.59,212,2,8.14,743,1888,0.164,0.682,2.29
447,42.31,16.71,31.73,238,3,2.27,793,1955,0.055,0.294,0.37
184,17.99,6.79,12.71,101,3,3.31,290,663,0.059,0.317,0
143,17.3,7.62,0,24,169,1.17,191,358,0.02,0.03,0
318,38.7,2.2,34.3,154,0,3.4,329,0,0.03,0.07,0
84,19.1,0.1,0.3,56,0,0.4,283,0,0.02,0.08,0
114,18,4,0.3,6,0,0,0,0,0.15,0.2,0
332,41.8,2.3,34.3,126,1504,4.7,235,503,0.06,0.05,0
314,41.84,1.3,32.01,139,889,0.59,368,541,0.035,0.169,0
415,6.64,0.84,90.98,12,70,0.19,86,92,0.029,0.025,0
69,1.32,0.1,15.06,4,13,0.08,12,13,0,0.003,0
152,2.11,0.28,33.59,5,1,0.07,21,18,0.013,0.008,0
150,2.83,0.38,33.76,9,159,0.24,39,41,0.026,0.014,0
882,0,99.8,0,0,0,0,0,0,0,0,0
26,1,0.1,6.3,22,17,1.6,16,86,0.1,0.09,6
119,2.5,1.5,53.5,535,551,320,144,3628,0.06,0.3,1
45,2.4,0.1,10.7,95,14,1.6,39,116,0.15,0.09,2
48,3,0.2,10.8,119,16,1.5,56,383,0.11,0.25,7
189,13.2,4.3,24.3,60,3227,2.5,175,564,0.06,0.12,0
351,10.93,4.3,67.18,58,5502,1.21,166,280,0.064,0,0
93,2.42,3.22,13.5,110,539,0.33,48,147,0.082,0.539,0
122,3,3.1,20.6,13,368,3.7,31,71,0.13,0.06,0
177,3.66,4.28,31,76,306,0.4,41,75,0,0.533,0
149,3,4.5,24,11,312,2.9,38,75,0.13,0.06,0
69,2.8,1.9,10.1,14,400,6.3,31,81,0.11,0.09,0
133,4.1,2.2,24.3,21,299,5,48,101,0.22,0.08,0
917,0,99.59,0.14,43,16,1.75,99,56,0,0.07,0
538,15,32.9,45.4,520,81,4.6,419,225,0.36,0.12,0
549,20.85,44.12,26.45,1146,0,5.8,746,530,0.676,0.349,0
539,21.28,42.3,27.42,1316,1,5.32,828,457,0.123,2.201,0
556,25.41,45.31,21.77,750,4,8.04,584,679,0.191,0.707,0.68
557,25.96,45.11,21.83,854,2,6.39,702,459,0.345,2.932,0
38,1,1.2,5.9,17,120,1.3,25,23,0.02,0.02,0
309,5.9,3.5,74.3,54,0,2.2,11,0,0.09,0.09,4
39,3.5,0.4,7.6,102,4,2,71,955,0.09,0.32,15
22,1.39,0.23,4.54,68,16,0.55,39,412,0,0.083,8.95
308,8.5,3.8,71.6,36,0,3.6,17,0,0.12,0.15,4
20,1.58,0.19,4.09,57,18,1.38,48,582,0.003,0.096,3.81
187,16.04,9.26,9.41,17,402,1,178,178,0.031,0.07,2.2
90,17.7,1.5,0.3,58,0,1.4,221,0,0.23,0.16,1
288,12.6,2.7,65.7,934,6,10.9,518,1487,0.22,1.97,23
61,7.4,0.7,10.3,154,2,4.4,205,730,0.52,0.13,45
27,0.9,0.7,5,16,0,0.2,10,0,0.02,0.05,15
45,1.33,0.04,11.23,4,3,0.22,29,456,0.005,0.084,21
47,1.57,0.29,11.01,6,2,0.26,51,450,0.006,0.08,21
44,6,0.51,6.89,83,2,1.04,106,356,0.191,0.029,67.84
280,27.9,1,57,946,37,2.1,485,944,0.65,1.49,39
269,34.44,3.13,44.54,613,11,9.11,691,2054,0.358,1.027,138.84
52,7.28,0.74,7.89,128,4,1.7,132,201,0.17,0.182,0
46,6.26,0.36,7.78,89,1,1.95,113,457,0.191,0.068,9.23
475,13.8,25.2,48.3,544,17,7.8,412,281,0.55,0.14,0
417,2,11.8,75.6,3,28,0.7,26,24,0,0,0
343,4.4,2.3,76.1,14,29,1.6,98,281,0.01,0.02,0
411,1.96,10.37,77.49,26,18,1.62,31,81,0,0,0.02
446,7.8,10.7,79.6,12,144,0.6,97,91,0.08,0.05,0
334,8.1,0.3,74.6,34,1975,27,119,182,0.24,0.05,0
375,6.44,0.57,82.08,10,3,0.07,38,33,0.064,0.024,0
363,6.64,1.04,78.16,7,1,0.38,130,111,0.135,0.044,0
357,7.14,2.18,76.22,10,1,1.18,322,248,0.296,0.055,0
377,7.4,0.4,81.9,4,3,2.2,151,191,0.14,0.08,0
386,9,1.7,83.6,39,3,2,83,289,0.11,0.07,0
361,7.3,2.8,75.7,15,5,1.3,228,218,0.33,0.05,0
375,9.5,2.6,75.2,9,26,2.1,303,307,0.4,0.09,0
246,4.81,1.75,52.65,12,262,0.58,38,43,0.007,0.028,0
237,4.1,1.8,51.1,14,185,0.8,48,38,0.03,0.03,0
223,5.7,1.2,47.4,21,237,4.6,73,158,0.03,0.01,0
244,3.7,2.2,52.3,11,289,2.8,33,65,0.09,0.08,0
231,5.52,1.15,49.69,12,337,0.33,46,88,0.04,0.03,0
204,4.2,0.9,44.8,16,269,1.9,37,58,0.06,0.02,0
181,6.63,0.41,37.63,21,182,1.16,97,265,0.018,0.045,0
296,5,5.3,57.1,258,347,5.5,135,65,0.15,0.04,0
77,0.9,0,18.5,16,8,0.9,21,332,0.1,0.05,92
81,1.1,0,19.3,16,7,0.5,34,353,0.11,0.04,96
156,13.8,0.8,62.6,0,0,0,0,0,0,0,0
8,1.4,0.4,1.6,37,0,2.5,12,0,0.01,0.05,9
11,1.6,0.13,1.81,82,15,0.37,39,316,0.048,0.044,18.51
10,1.41,0.09,1.64,87,17,0.38,40,366,0.068,0.043,18.51
108,10.2,0.8,14.9,96,961,3.8,177,602,0.15,0.29,0
68,5.6,3.9,2.6,71,449,6.5,82,212,0.32,0.13,0
411,38.8,16.4,28.8,207,2487,9,626,1665,0.18,0.67,0
136,10.93,5.88,10.42,81,3083,1.75,184,460,0.088,0.373,12.37
178,13.6,12.3,1,61,0,3.1,197,0,0.23,0.38,0
115,23.1,1.8,0.1,5,65,0.6,270,380,0.09,0.07,2
385,65.2,13.6,0.5,65,1400,1.9,500,46,0,0.07,0
107,19.6,2.4,0.5,38,0,2.3,127,0,0.11,0.18,1
89,15,3,0.6,8,480,0.4,94,2,0,0.01,0
410,44.5,24,1,87,1300,10.4,470,250,0.01,0.5,0
122,18.7,4.7,0,73,0,2.1,277,0,0.11,0.11,0
207,16.3,15.1,0.4,35,0,0.8,304,0,0.03,0.25,1
157,17.5,9,0.2,55,538,6,228,298,0.02,0.3,0
305,23.1,22.1,0,150,3900,3.5,400,280,0.01,0.35,0
132,0.41,0,4.24,4,3,0.02,9,9,0,0,0
180,20.7,0.3,68.7,535,530,320,144,3200,0.06,0.3,1
134,0.18,0.02,33.21,75,7,0.15,0,0,0,0.007,0
67,1.59,0.06,16.9,12,1,0.27,38,322,0.055,0.026,1.29
137,0.02,0,34.11,28,7,0.08,0,3,0,0.007,0
211,3.79,1.17,53.78,19,1962,1.27,82,247,0,0.186,0
151,9,1.3,25.8,8,270,1.4,115,183,0.01,0.13,0
154,8.5,2,25.5,15,323,1.9,94,147,0.01,0.15,0
165,4.32,2.51,31.26,63,255,0.39,57,33,0.018,0.019,0
76,2.3,0.56,17,14,1,0.89,77,478,0.063,0.057,5.2
89,17.1,1.7,0.2,66,0,1.7,217,0,0.3,0.13,1
598,7.79,42.63,45.9,73,20,11.9,308,715,0.034,0.078,0
519,13.1,33.5,49.7,104,41,1.31,212,502,0.116,0.174,0
526,9,34.4,53.4,224,74,1.63,264,444,0.06,0.435,0.2
549,7.8,32.54,56.17,221,59,4.56,259,480,0.085,0.505,0.18
507,3.9,34.2,60.4,24,16,2.76,147,290,0.02,0.24,0
539,5.87,32.09,59.24,199,90,0.24,176,286,0.063,0.282,0.5
30,1.16,0.05,6.99,32,27,0.48,46,222,0.035,0.047,16.89
22,1.38,0.07,5.18,82,29,0.88,35,261,0.036,0.233,15.56
24,1.97,0.34,4.59,261,68,1.69,41,301,0.126,0.146,26.28
49,3.5,2.6,2.9,86,292,7.7,65,89,0.05,0.27,0
206,11.8,4.16,30.46,54,3399,1.78,156,384,0.104,0.981,0
53,4.2,0.3,11.3,83,38,2.4,73,661,0.19,0.29,9
48,3.7,0.6,9.6,93,20,3,77,669,0.18,0.27,32
49,2.77,0.5,10.54,124,8,2.66,63,449,0.032,0.411,12
265,22.2,2.3,53.6,231,0,8.8,175,0,0.03,0.08,6
55,3,0.5,12.3,76,15,4.5,25,151,0.54,0.03,0
299,26.85,3.67,56.82,745,70,18.86,405,2441,0,0.847,0
49,4.9,0.97,8.22,161,5,2.45,65,86,0,0.109,0
51,2.61,0.38,11.66,134,5,5.99,63,556,0.057,0.497,12.86
486,16.54,30.74,42.12,631,16,7.72,860,407,0.62,0.17,1.6
66,1.3,0.1,14.9,39,8,3.3,35,43,0.34,0.08,36
356,24.94,27.44,2.22,700,819,0.24,546,121,0.03,0.334,0
300,19.8,24.26,0.46,388,842,0.33,347,187,0.028,0.488,0
162,7.1,11.5,6.7,340,160,0.1,200,210,0.04,0.21,0
294,28.02,16.89,5.39,957,424,0.13,535,84,0.028,0.327,0.06
334,20.75,27.68,0.45,184,629,0.5,188,152,0.07,0.52,0
371,23.24,29.68,2.79,674,560,0.43,451,136,0.014,0.351,0
353,21.4,28.74,2.34,528,1146,0.31,387,256,0.029,0.382,0
298,18.76,21.3,6.17,626,928,0.09,857,62,0.059,0.17,0.07
105,13.3,4.5,1.9,55,400,0.1,130,50,0.02,0.15,0
350,6.15,34.44,5.52,97,314,0.11,107,132,0.023,0.23,0
420,28.42,27.84,13.91,853,1804,0.49,627,180,0.026,0.358,0
72,1.4,0.2,17.51,41,50,0.8,61,290,0.04,0.03,5
16,1.7,0.21,2.95,93,136,1.8,24,340,0.015,0.102,2.11
25,2.3,0.2,5,90,57,1.3,47,488,0.17,0.23,48
14,1.19,0.25,2.62,11,0,0,25,247,0.08,0.005,1.75
369,7.3,0.2,84.6,22,175,14.4,183,1807,1.43,3.25,97
115,1.8,0.1,26.3,27,1200,0.9,32,500,0.07,0.07,0
374,15,8.2,60.1,280,2500,29.3,260,3000,0.25,0.84,0
189,28.55,7.39,0.06,14,103,1.09,223,239,0.045,0.281,0
203,27.37,10.4,0,28,78,1.52,254,294,0.077,0.211,0
143,21.64,5.64,0.13,11,112,0.86,183,224,0.048,0.185,0
27,2.7,0.3,5,51,673,3.1,26,197,0.1,0.35,36
137,2.48,0.1,32.05,383,0,2,61,243,0.152,0.02,4.66
21,0.44,0,4.91,44,3,0.07,11,57,0.124,0.009,0
423,1.8,10.7,79.9,0,98,0.5,68,118,0.04,0.11,0
356,10.4,14.6,58.3,65,0,5.1,132,531,0.12,0.1,0
72,2.47,1.89,11.39,14,482,0.43,37,158,0,0.046,0.17
134,2.7,2.5,25.2,11,218,3,35,78,0.22,0.02,0
1,0,0,0.2,2,1,0.08,0,9,0.01,0.004,0
125,0,0,15.7,0,40,0.01,2,11,0.001,0.001,1.3
149,0,0.03,13.17,1,20,0.08,6,5,0.011,0.006,1.6
110,0.3,0.1,11.3,0,57,0.02,10,10,0.038,0.016,19.3
302,0,0,37.6,0,4,0,0,1,0,0,0
237,0.6,7.6,27.6,1,71,0.03,36,83,0.017,0.005,1.5
70,2.5,0.5,13.8,14,262,3.2,23,60,0.1,0.05,0
50,0.4,0.4,12.6,32,1,0.5,27,265,0.09,0.06,44
576,19.8,47.6,26.7,38,220,4.8,490,590,0.54,0.18,0
351,11.6,0.2,76,140,23,3.8,286,3501,0,1.36,0
22,0.2,0.22,4.93,7,1,0,19,443,0,0.275,0
38,0.81,0.12,8.34,24,37,0.05,21,69,0.009,0.034,0
3,0.2,0.01,0.7,2,0,0.02,3,38,0,0.001,0
51,0.43,1.03,10.06,14,5,0.05,35,117,0.01,0.19,0
426,3.59,8.54,83.8,115,42,0.39,288,972,0.072,0,0
348,19.81,0.49,66.06,159,42,1.7,348,3822,0.008,0.074,0
514,1.57,29.11,62.2,339,21,0.2,636,1195,0,0.016,0
248,4.3,24.8,1.8,21,160,0.1,130,45,0,0.03,0
211,5.2,18.3,5.5,30,150,0.1,150,55,0.01,0.05,0
28,0.61,1.44,3.16,8,423,0.11,16,61,0.039,0.102,0.72
192,3.5,4.95,33.41,123,316,0.44,50,71,0.187,0.287,0
392,8.75,11.46,63.47,31,1217,0.94,77,199,0.541,2.515,0
202,4.52,5.39,33.9,16,435,0.54,39,63,0,1.17,0
324,2.9,9.1,61.6,33,101,2.07,52,153,0.05,0.099,0.5
369,7.51,20.22,39.24,32,162,0.87,122,95,0.031,0.17,0
296,6.2,10.8,43.5,34,277,1,90,198,0.17,0.11,0
280,3.03,18.88,24.39,44,67,0.45,70,106,0.026,0.16,2.36
327,7.1,13.8,43.6,32,79,0.7,110,91,0.02,0.11,0
352,6.6,15.2,47.2,34,172,0.9,124,85,0.05,0.12,0
258,5.9,0.8,57.8,140,749,0.52,324,93,0.102,0.491,0
417,5.23,22.09,49.31,54,146,2.65,125,318,0.065,0.13,0
331,5.87,21.32,28.82,100,240,0.78,176,122,0.036,0.221,0
408,5.66,20.71,49.65,52,207,0.74,148,130,0.059,0.143,0
227,6.4,9.7,28.3,219,439,1.8,159,132,0.201,0.281,0.3
33,3.3,0.2,6.5,292,103,3.3,66,195,0.23,0.27,105
49,2.7,0.3,11.1,152,11,3.9,52,572,0.15,0.16,76
26,3.11,0.24,4.61,328,47,0.81,61,594,0.51,0.178,0
27,3.5,0.4,4.1,378,83,1.9,75,652,0.15,0.2,0
31,3.1,0.3,5.8,89,65,3.5,35,232,0.18,0.24,109
22,2,0.3,4.2,268,50,1.3,52,533,0.13,0.12,0
378,1.4,6.2,79.2,745,76,8.7,246,2391,0.36,2.52,106
660,6.88,64.53,23.65,26,37,3.32,206,543,0.06,0.1,1.5
592,5.3,47,44.4,27,37,3.39,211,554,0.061,0.102,1.5
230,2.29,23.84,5.54,16,15,1.64,100,263,0.026,0,2.8
19,0.72,0.2,3.71,24,105,0.29,20,250,0.03,0.057,2.4
921,0,100,0,0,0,0,0,0,0,0,0
423,9.84,9.45,74.63,488,161,7.37,514,1274,0,0.545,0
21,1,0,5.2,27,7,0.2,28,210,0.03,0.05,37
22,1.16,0.05,5.16,42,7,0.27,43,312,0.815,0.035,0
410,35,17.2,30.6,239,4,8.1,660,1453,0.49,0.17,0
427,37,20.9,32.3,169,4,10.4,576,1836,0.13,0.6,0
409,36.21,14.71,32.99,260,2,6.66,660,1838,0.553,0.384,3.27
444,40.47,17.21,33.57,256,3,7.6,636,1988,0.128,0.523,0
201,17.82,9.5,12.02,127,4,2.27,305,692,0.158,0.204,1.13
405,34.36,13.83,36.94,322,0,10.92,921,2842,0.68,0.226,1.1
460,35.8,19.5,37.3,230,5,7.8,610,2173,0.26,0.42,13
432,33.9,16,39.6,118,3,6.5,34,842,0.35,0.35,0
413,38.68,15.86,30.45,199,1,6.19,653,1848,0.168,0.682,6.72
436,41.72,16.72,31.27,221,4,2.7,637,1853,0.073,0.79,4.9
196,19.02,8.75,11.39,95,3,2.57,297,672,0.165,0.281,1.73
433,32.7,16.9,39.2,117,3,7.7,31,1129,0.68,0.63,0
399,34.6,12.6,37.84,240,0,11.81,928,2712,0.532,0.247,0
452,37.4,18.1,36.7,313,4,9.5,657,1955,0.21,0.4,17
407,36.1,15.37,32.45,158,3,7.68,570,1804,0.074,0.697,4.57
446,40.99,17.31,33.31,177,6,6.66,650,1976,0.118,0.469,2.35
199,17.87,9.05,12.4,77,4,3.05,247,700,0.058,0.336,0.77
83,3.9,1.3,14,17,118,4.1,43,87,0.09,0.02,0
915,0,99.31,0.66,0,0,0,0,0,0,0,0
409,45.4,11.6,31.7,354,41,9.8,634,1838,0.75,1.32,0
27,4.2,0.9,2.7,10,5,0.6,46,138,0.09,0.16,17
406,45.7,10.8,32.5,354,42,8.8,631,1976,0.83,1.17,0
33,4.52,1.51,2.55,53,1,0.41,69,91,0.028,0.044,1.07
36,4.64,1.36,3.8,48,1,0.67,85,218,0.114,0.085,1.8
32,3.4,1.3,1.7,27,279,5.3,33,60,0.04,0.15,0
94,6.6,0.3,21,33,0,1.6,120,0,0.12,0.16,16
271,19.3,4.2,39.1,95,1067,28.2,296,761,0.43,0.25,0
364,9.56,3.26,72.66,63,0,3.54,308,645,0.953,0.219,1.23
54,0,0.1,13.52,3,2,0.1,1,14,0,0,42.3
314,0.25,0.58,85.73,8,2,0.27,7,56,0.022,0.055,0.73
46,0.46,0.13,11.97,8,2,0.23,11,80,0.012,0.02,14
164,4.6,4.9,25.3,20,290,0.7,62,300,0.09,0.06,7
264,3,12.9,34,6,477,0.9,52,241,0.1,0.05,0
159,4.7,6.3,20.9,43,270,0.5,63,160,0.06,0.1,2
128,16.5,5.5,2,180,0,0,0,0,0,0,0
104,17.7,2.9,0.4,22,240,1.1,200,240,0.2,0.3,0
76,12.1,2.6,0.2,401,420,2,263,320,0.13,0.25,2
292,2.17,30.91,2.96,69,34,0.03,61,97,0.024,0.125,0.6
380,2,39.2,3.1,64,21,0.4,48,75,0.13,0.11,0
433,2,45,3.1,60,27,0.1,50,80,0.02,0.09,0
340,2.84,36.08,2.74,66,27,0.1,58,95,0.02,0.188,0.6
123,3.13,10.39,4.73,107,61,0.05,95,132,0.03,0.194,0.9
399,2,40.7,4.7,39,62,0.5,51,87,0.04,0.12,1
184,25.09,2.51,61.4,5,34,2.98,940,2768,0.152,0.885,0
21,3.14,0.33,6.48,1,5,0.26,92,270,0.012,0.135,0
20,2.92,0.23,6.54,1,6,0.36,93,307,0.049,0.229,0.58
18,4,0,4.9,1,5,0.7,119,333,0.1,0.57,0
109,7.1,2,15.7,38,526,6.9,72,224,0.1,0.15,0
174,45.3,7.2,25.7,117,0,73.4,1536,0,0,0,0
180,0.25,0,49.68,9,154,0.02,6,27,0,0.017,53.62
54,0.77,0.26,13.73,19,1,1.72,27,262,0.007,0.052,90.94
66,0.93,0.63,16.08,30,2,0.32,33,284,0.175,0.057,86.51
64,0.8,1,14.8,30,2,1,24,257,0.13,0.03,72
295,22.77,7.24,50.22,1139,62,32.3,313,3020,0.251,1.339,50
352,6.5,5.2,69.8,1700,13,110,85,980,0.09,0.69,0
44,0,0,10.88,3,2,0.01,2,10,0,0.001,0.17
47,0,0,11.77,2,12,0,0,3,0.271,0.39,41.54
40,0,0,9.98,2,1,0.01,0,0,0,0,0
0,0,0,0,5,21,0.01,0,2,0,0,0
48,0,0,12.08,2,3,0,0,1,0,0,0
47,0,0,11.74,9,4,0,12,12,0,0.018,0
2,0.11,0.03,0.29,3,8,0.11,9,8,0.005,0.023,0
34,0,0,8.76,3,7,0.18,0,1,0,0,0
38,0,0,9.46,1,2,0.02,16,2,0,0,0
51,0,0,13.3,5,12,0.05,0,1,0,0,0
45,0,0.1,11.3,2,7,0.1,2,1,0.02,0.01,0
52,0,0,13.07,0,0,0,0,10,0,0,0
228,8.7,10,25.9,13,221,7.9,69,101,0.19,0.18,0
84,1.3,1.5,18.5,9,2,0.1,9,27,0.07,0.08,132
51,1.9,0.6,11.7,54,427,3,32,257,0.03,0.13,8
62,0.5,0.1,16.9,56,260,1.2,22,689,0.03,0.06,7
192,20.29,10.8,7.64,111,9,2.7,266,412,0.078,0.358,0
173,33.02,3.51,0,18,45,4.85,240,343,0.02,0.07,0
135,21.7,4.4,0.6,12,56,2.4,231,360,0.07,0.11,0
34,0,0,8.8,1,12,0.01,0,0,0,0,0
73,2.17,0.18,16.28,18,2,0.77,55,489,0.067,0.028,4.72
71,2.08,0.14,15.77,11,2,0.59,55,520,0.081,0.022,1.21
76,2.4,0.17,16.75,19,2,0.81,56,368,0.073,0.024,6.44
20,0.4,0,5.3,91,1,0.1,39,125,0,0,0
261,7.4,1.1,65.5,1050,11,8.1,220,3676,0.1,0.21,0
20,0.5,0.1,4.9,270,2,1.3,19,240,0,0,0
16,0.28,0.05,4.25,65,1,0.35,21,430,0.033,0.032,4.12
44,2,0.2,8.5,18,240,0.9,42,340,0.09,0.08,0
135,1.78,0.08,31.73,20,1063,0.13,36,477,0.026,0.136,9.08
98,4.22,0.24,19.68,54,113,1.43,98,959,0.016,0.328,11.2
41,0.4,0.02,10.92,4,27,0.11,8,97,0,0.015,11.32
26,0.94,0.06,6.5,8,7,0.28,29,329,0.006,0.021,17.54
23,0.76,0.04,5.87,7,6,0.21,24,325,0.002,0.021,16.37
17,0.7,0.14,4.06,8,2,0.15,29,251,0.016,0.048,14.8
25,1,0.13,6.02,10,5,0.37,28,209,0.022,0.087,11.37
19,1.03,0.18,4.26,9,2,0.19,29,250,0.013,0.037,14.16
17,0.9,0.1,3.9,5,15,0.6,14,304,0.05,0.02,10
20,0.9,0.2,4.4,9,4,0.4,26,240,0.06,0.03,10
41,1.9,0.1,9.9,19,19,0.8,37,490,0.09,0.07,10
19,0.66,0.03,4.78,11,2,0.27,32,204,0.01,0.045,0
21,0.68,0.04,5.22,11,2,0.26,30,202,0.009,0.038,0
40,4.7,0.6,6.7,254,189,0.4,46,263,0.22,0.38,118
81,6.6,0.8,32,768,0,76.2,118,0,0,0,0
135,6.2,0.8,59.7,1250,0,47,93,0,0.01,0.11,0
14,1.9,0.4,4,157,0,3.9,32,0,0.01,0.07,4
137,20,5.7,0.1,43,108,0.8,194,247,0.05,0.14,0
80,18.1,0.1,0.5,34,0,0.3,160,0,0,0,0
19,1.4,0.15,3.97,34,1409,0.54,21,145,0.015,0.133,8.01
19,1.34,0.15,4.13,58,1573,0.36,16,133,0.027,0.097,6.4
262,9.28,6.14,52.6,325,7935,39.83,311,1763,0,0.087,1.14
251,2.4,12.5,32.1,40,393,11.9,51,72,0.05,0.26,5
321,3.6,17.3,37.6,33,279,5.6,99,239,0.07,0.3,9
126,19.3,4.7,0.2,35,60,1.1,187,370,0.05,0.18,1
29,1.5,0.2,6.5,83,4,0.4,36,237,0.14,0.11,0
23,1.78,0.15,4.8,24,0,0.82,30,181,0.066,0.094,3.55
29,1.2,0.2,6.7,25,17,1,26,239,0.02,0.04,11
16,1.5,0.1,3.2,75,2,0.8,39,271,0.05,0.08,24
21,1.73,0.14,4.24,72,0,2.65,43,324,0.03,0.147,13.69
25,1.8,0.1,5.5,81,15,4.2,45,705,0.05,0.06,68
